date,保險業,光電業,其他業,其他電子業,化學工業,半導體業,塑膠工業,存託憑證,居家生活,建材營造業,數位雲端,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,證券業,貿易百貨業,資訊服務業,通信網路業,造紙工業,運動休閒,金控業,銀行業,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業
2005-02-10,5.0,35.0,29.0,28.0,20.0,39.0,18.0,,4.0,49.0,1.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,29.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,65.0,26.0,45.0,22.0
2005-03-10,5.0,35.0,29.0,28.0,20.0,39.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,29.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,65.0,26.0,45.0,22.0
2005-04-11,5.0,35.0,29.0,28.0,20.0,39.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,29.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,26.0,45.0,22.0
2005-05-10,5.0,35.0,29.0,28.0,20.0,40.0,18.0,,4.0,50.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,26.0,45.0,22.0
2005-06-10,5.0,35.0,29.0,28.0,20.0,40.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,26.0,45.0,22.0
2005-07-11,5.0,35.0,29.0,28.0,20.0,40.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,27.0,45.0,22.0
2005-08-10,5.0,36.0,29.0,28.0,20.0,40.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,11.0,8.0,26.0,12.0,17.0,66.0,27.0,45.0,22.0
2005-09-12,5.0,36.0,29.0,28.0,20.0,41.0,18.0,,4.0,49.0,2.0,9.0,7.0,15.0,8.0,4.0,9.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,27.0,45.0,22.0
2005-10-10,5.0,36.0,29.0,28.0,20.0,41.0,18.0,,4.0,49.0,2.0,10.0,7.0,15.0,8.0,4.0,8.0,37.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,11.0,8.0,26.0,12.0,17.0,66.0,27.0,45.0,22.0
2005-11-10,5.0,37.0,29.0,28.0,20.0,42.0,18.0,,4.0,49.0,2.0,10.0,7.0,15.0,8.0,4.0,9.0,38.0,2.0,15.0,9.0,2.0,11.0,10.0,30.0,6.0,7.0,12.0,8.0,26.0,12.0,17.0,66.0,27.0,45.0,22.0
