"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="0050","元大台灣50","市","11/19","60.05","-0.4","-0.66","","","1,456","8,741","22.4","22.4","有","有","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0051","元大中型100","市","11/19","88.45","-0.2","-0.23","","","2.3","20.3","19.2","19.2","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0053","元大電子","市","11/19","131.6","-1.1","-0.83","","","0.5","6.56","18.4","18.3","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0055","元大MSCI金融","市","11/19","30.22","-0.16","-0.53","","","8.07","24.4","18.4","18.3","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0056","元大高股息","市","11/19","34.74","-0.26","-0.74","","","1,392","4,837","17.9","17.9","有","","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0057","富邦摩台","市","11/19","175.55","-1.15","-0.65","","","0.15","2.68","17.8","17.7","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
="0061","元大寶滬深","市","11/19","22.25","+0.07","+0.32","","","12.61","28.1","16.3","16.3","","","有","","","","國外成分股ETF","劉宗聖","陳沛宇"
="006203","元大MSCI台灣","市","11/19","109.05","-0.55","-0.5","","","1.02","11.1","14.6","14.5","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="006204","永豐臺灣加權","市","11/19","134.6","-1.75","-1.28","","","0.15","2.02","14.2","14.1","","","","","","","國內成分股ETF","陳思寬","濮樂偉"
="006205","富邦上証","市","11/19","38.1","-0.05","-0.13","","","12.14","46.3","14.2","14.2","有","有","有","","","","國外成分股ETF","黃昭棠","呂其倫"
="006206","元大上證50","市","11/19","35.76","+0.12","+0.34","","","3.53","12.6","13.6","13.5","有","有","有","","","","國外成分股ETF","劉宗聖","陳沛宇"
="006207","復華滬深","市","11/19","29.46","0","0","","","2.69","7.92","13.5","13.4","","","","","","","國外成分股ETF","杜俊雄","張偉智"
="006208","富邦台50","市","11/19","137.3","-0.95","-0.69","","","190.6","2,617","13.4","13.3","","","有","","","","國內成分股ETF","黃昭棠","呂其倫"
"00625K","富邦上証+R","市","11/19","8.81","0","0","","","0.03","0.03","9.3","9.28","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
"00631L","元大台灣50正2","市","11/19","310.85","-4.05","-1.29","","","11.16","347","11.1","11.1","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00632R","元大台灣50反1","市","11/19","17.89","+0.11","+0.62","","","195","349","11.1","11.1","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00633L","富邦上証正2","市","11/19","49.33","+0.45","+0.92","","","18.65","92","11","11","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00634R","富邦上証反1","市","11/19","3.26","-0.01","-0.31","","","4.73","1.54","11","11","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00635U","期元大S&P黃金","市","11/19","44.06","+0.84","+1.94","","","24.85","109","10.6","10.6","","","有","","","","期貨ETF","劉宗聖","陳沛宇"
="00636","國泰中國A50","市","11/19","26.3","+0.13","+0.5","","","15.03","39.5","10.7","10.6","有","有","有","","","","國外成分股ETF","張錫","張雍川"
"00636K","國泰中國A50+U","市","11/19","8.49","+0.07","+0.83","","","0.01","0.01","8.1","8.07","","","","","","","國外成分股ETF","張錫","張雍川"
"00637L","元大滬深300正2","市","11/19","20.2","+0.26","+1.3","","","122.4","247","10.5","10.5","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00638R","元大滬深300反1","市","11/19","6.91","-0.02","-0.29","","","3.39","2.35","10.5","10.5","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
="00639","富邦深100","市","11/19","14.5","-0.03","-0.21","","","15.19","22","10.5","10.5","有","有","有","","","","國外成分股ETF","黃昭棠","呂其倫"
"00640L","富邦日本正2","市","11/19","70.85","-0.4","-0.56","","","1.09","7.74","10.2","10.2","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00641R","富邦日本反1","市","11/19","4.83","+0.01","+0.21","","","6.73","3.25","10.2","10.2","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00642U","期元大S&P石油","市","11/19","15.77","+0.27","+1.74","","","19.73","31.1","10.2","10.2","","","有","","","","期貨ETF","劉宗聖","陳沛宇"
="00643","群益深証中小","市","11/19","15.94","-0.1","-0.62","","","10.16","16.2","10","9.97","有","有","有","","","","國外成分股ETF","賴政昇","陳明輝"
"00643K","群益深証中小+R","市","11/19","3.7","0","0","","","0.01","0","10","9.23","","","","","","","國外成分股ETF","賴政昇","陳明輝"
="00645","富邦日本","市","11/19","45.42","-0.18","-0.39","","","5.05","22.9","10.1","10","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
